level,country,salid,cases,cases_per_1M,deaths,deaths_per_10M
L2,AR,10110810,25357,93823,420,15540
L2,AR,10110910,39795,92509,838,19480
L2,AR,10110911,1038,74021,21,14975
L2,AR,10111010,20410,92520,515,23345
L2,AR,10111110,32875,82567,393,9870
L2,AR,10111210,35778,141264,703,27757
L2,AR,10111211,22756,151990,543,36268
L2,AR,10111212,31604,163953,808,41917
L2,AR,10111213,40050,167707,831,34798
L2,AR,10111214,26016,139156,596,31879
L2,AR,10111215,23212,125575,544,29430
L2,AR,10111216,32429,134780,832,34579
L2,AR,10111217,30851,136118,608,26826
L2,AR,10111218,23449,137446,578,33879
L2,AR,10111219,21491,126208,563,33063
L2,AR,10111220,24045,126562,576,30318
L2,AR,10111221,24915,116472,566,26459
L2,AR,10111222,29439,124759,614,26021
L2,AR,10111223,32997,145397,684,30140
L2,AR,10111224,26487,145207,595,32619
L2,AR,10111225,56899,97004,1936,33006
L2,AR,10111226,40170,113707,1295,36657
L2,AR,10111227,30479,85991,996,28100
L2,AR,10111228,33715,95900,932,26510
L2,AR,10111229,17562,86388,417,20512
L2,AR,10111230,37658,76595,996,20258
L2,AR,10111231,45192,106799,1463,34574
L2,AR,10111232,18487,97071,616,32345
L2,AR,10111233,18186,102442,611,34418
L2,AR,10111234,27102,91475,772,26057
L2,AR,10111235,143752,67278,4159,19465
L2,AR,10111236,50665,109420,1304,28162
L2,AR,10111237,59754,93232,1204,18786
L2,AR,10111238,34139,97577,1024,29268
L2,AR,10111239,47517,81328,1514,25913
L2,AR,10111240,46824,90728,1166,22593
L2,AR,10111241,32570,101712,1153,36007
L2,AR,10111242,66969,104355,2291,35700
L2,AR,10111243,18089,105228,616,35834
L2,AR,10111244,35848,122281,943,32167
L2,AR,10111245,34377,115801,837,28195
L2,AR,10111246,39386,89737,989,22533
L2,AR,10111247,37010,107613,1210,35183
L2,AR,10111248,27276,101437,854,31759
L2,AR,10111249,24944,102458,791,32490
L2,AR,10111250,11127,107706,174,16843
L2,AR,10111251,5167,82013,138,21904
L2,AR,10111252,46117,129648,716,20129
L2,AR,10111253,7602,76904,165,16692
L2,AR,10111254,7175,99486,164,22740
L2,AR,10111255,5924,99034,123,20562
L2,AR,10111256,2787,80445,60,17319
L2,AR,10111257,12218,105226,335,28851
L2,AR,10111258,60756,87022,2202,31540
L2,AR,10111259,8168,86416,299,31634
L2,AR,10111260,5709,94440,158,26137
L2,AR,10111310,13217,71215,180,9699
L2,AR,10111410,20381,55414,538,14628
L2,AR,10111510,27603,104767,434,16472
L2,AR,10111610,14859,50022,459,15452
L2,AR,10111611,2780,47857,89,15321
L2,AR,10111710,17058,146567,179,15380
L2,AR,10111711,2631,162077,12,7392
L2,AR,10111810,10689,50490,357,16863
L2,AR,10111910,9745,81725,224,18785
L2,AR,10111911,14760,72513,369,18128
L2,AR,10111912,19299,60294,543,16964
L2,AR,10111913,14619,64212,303,13309
L2,AR,10111914,10317,75175,159,11586
L2,AR,10111915,13076,67439,273,14080
L2,AR,10112010,14203,68595,389,18787
L2,AR,10112110,10205,28427,99,2758
L2,AR,10112210,50547,122334,1076,26041
L2,AR,10112211,29671,83059,856,23962
L2,AR,10112310,17188,110560,397,25537
L2,AR,10112410,26168,43148,646,10652
L2,AR,10112411,1979,43913,48,10651
L2,AR,10112412,784,80196,8,8183
L2,AR,10112510,31443,108748,317,10964
L2,AR,10112511,10324,65692,117,7445
L2,AR,10112610,152041,119716,2985,23504
L2,AR,10112611,19663,111056,182,10279
